Frame: 42, ID: 44 Class: car, Coor: 2714,1652,2748,1690
Frame: 42, ID: 46 Class: bird, Coor: 3641,934,3713,1006
Frame: 43, ID: 3 Class: bird, Coor: 3424,1323,3498,1400
Frame: 43, ID: 4 Class: bird, Coor: 2490,1306,2599,1428
Frame: 43, ID: 5 Class: bird, Coor: 2198,1256,2364,1397
Frame: 43, ID: 10 Class: clock, Coor: 2382,1881,2438,1945
Frame: 43, ID: 29 Class: car, Coor: 3185,1838,3337,1954
Frame: 43, ID: 31 Class: clock, Coor: 2654,1475,2816,1620
Frame: 43, ID: 34 Class: bird, Coor: 2010,1443,2174,1567
Frame: 43, ID: 35 Class: bird, Coor: 2750,673,2893,770
Frame: 43, ID: 36 Class: car, Coor: 2881,1689,3103,1827
Frame: 43, ID: 44 Class: car, Coor: 2714,1652,2749,1690
Frame: 43, ID: 46 Class: bird, Coor: 3641,933,3712,1005
Frame: 44, ID: 3 Class: bird, Coor: 3424,1323,3497,1400
Frame: 44, ID: 4 Class: bird, Coor: 2490,1306,2599,1428
Frame: 44, ID: 5 Class: bird, Coor: 2199,1253,2366,1396
Frame: 44, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 44, ID: 9 Class: car, Coor: 2197,1882,2216,1907
Frame: 44, ID: 10 Class: clock, Coor: 2382,1881,2438,1945
Frame: 44, ID: 29 Class: car, Coor: 3180,1837,3333,1954
Frame: 44, ID: 31 Class: clock, Coor: 2653,1475,2816,1620
Frame: 44, ID: 34 Class: bird, Coor: 2014,1443,2179,1566
Frame: 44, ID: 35 Class: bird, Coor: 2748,672,2892,770
Frame: 44, ID: 36 Class: car, Coor: 2880,1687,3100,1826
Frame: 44, ID: 44 Class: car, Coor: 2714,1652,2749,1690
Frame: 44, ID: 46 Class: bird, Coor: 3640,933,3712,1005
Frame: 45, ID: 3 Class: bird, Coor: 3424,1323,3496,1399
Frame: 45, ID: 4 Class: bird, Coor: 2491,1306,2599,1428
Frame: 45, ID: 5 Class: bird, Coor: 2202,1251,2367,1393
Frame: 45, ID: 8 Class: bird, Coor: 2138,1864,2158,1890
Frame: 45, ID: 9 Class: car, Coor: 2197,1882,2216,1908
Frame: 45, ID: 10 Class: clock, Coor: 2382,1881,2438,1945
Frame: 45, ID: 16 Class: car, Coor: 2079,1847,2098,1872
Frame: 45, ID: 17 Class: car, Coor: 2018,1827,2040,1855
Frame: 45, ID: 29 Class: car, Coor: 3177,1837,3330,1953
Frame: 45, ID: 31 Class: clock, Coor: 2653,1474,2817,1621
Frame: 45, ID: 34 Class: bird, Coor: 2019,1444,2187,1569
